slug,name,preferred,security_emails,policy_url,portal_type,portal_url,immunefi_url,last_verified,confidence,needs_review
0x,0x,direct,,,,,,2026-02-12,0.3,true
88mphv3,88mphv3,direct,,,,,,2026-02-12,0.3,true
aave,AAVE,direct,,,,,,2026-02-12,0.3,true
acala,Acala,direct,,,,,,2026-02-12,0.7,true
aera,Aera,direct,,,,,,2026-02-12,0.3,true
aevo,Aevo,direct,,,,,,2026-02-12,0.3,true
alchemix,Alchemix,direct,,,,,,2026-02-12,0.7,true
aleo,Aleo,direct,,,,,,2026-02-12,0.3,true
alephzero,Alephzero,direct,,,,,,2026-02-12,0.3,true
alex,Alex,direct,,,,,,2026-02-12,0.7,true
aloeprotocol,Aloeprotocol,direct,,,,,,2026-02-12,0.3,true
alongside,Alongside,direct,,,,,,2026-02-12,0.3,true
alpacafinance,Alpacafinance,direct,,,,,,2026-02-12,0.3,true
alpen-labs,Alpen Labs,direct,,,,,,2026-02-12,0.3,true
alphaventuredao,Alpha Venture DAO,direct,,,,,,2026-02-12,0.3,true
ambire,Ambire,direct,,,,,,2026-02-12,0.3,true
angleprotocol,Angleprotocol,direct,,,,,,2026-02-12,0.3,true
ankr,Ankr,direct,,,,,,2026-02-12,0.3,true
antefinance,Antefinance,direct,,,,,,2026-02-12,0.3,true
anvil,Anvil,direct,,,,,,2026-02-12,0.7,true
apecoinmainnet,Apecoinmainnet,direct,,,,,,2026-02-12,0.3,true
arbitrum,Arbitrum,direct,,,,,,2026-02-12,0.3,true
arborfinance,Arborfinance,direct,,,,,,2026-02-12,0.3,true
arcade,Arcade,direct,,,,,,2026-02-12,0.3,true
arkadiko,Arkadiko,direct,,,,,,2026-02-12,0.3,true
arkham,Arkham,direct,,,,,,2026-02-12,0.3,true
aspida,Aspida,direct,,,,,,2026-02-12,0.3,true
astarnetwork,Astarnetwork,direct,,,,,,2026-02-12,0.3,true
aster,Aster,direct,,,,,,2026-02-12,0.3,true
astroport,Astroport,direct,,,,,,2026-02-12,0.3,true
aurafinance,Aura Finance,direct,,,,,,2026-02-12,0.3,true
autonolas,Autonolas,direct,,,,,,2026-02-12,0.3,true
avail,Avail,direct,,,,,,2026-02-12,0.3,true
avalabs,Avalabs,direct,,,,,,2026-02-12,0.3,true
avalanche,Avalanche,direct,,,,,,2026-02-12,0.3,true
axelarnetwork,Axelar Network,direct,,,,,,2026-02-12,0.3,true
axiom,Axiom,direct,,,,,,2026-02-12,0.7,true
baanx,Baanx,direct,,,,,,2026-02-12,0.3,true
babylon-labs,Babylon Labs,direct,,,,,,2026-02-12,0.3,true
badger,Badger,direct,,,,,,2026-02-12,0.3,true
balancer,Balancer,direct,,,,,,2026-02-12,0.3,true
balmy,Balmy,direct,,,,,,2026-02-12,0.3,true
bankx,Bankx,direct,,,,,,2026-02-12,0.3,true
baofinance,Baofinance,direct,,,,,,2026-02-12,0.3,true
basilisk,Basilisk,direct,,,,,,2026-02-12,0.3,true
beanstalk,Beanstalk,direct,,,,,,2026-02-12,0.3,true
beefyfinance,Beefy Finance,direct,,,,,,2026-02-12,0.3,true
beethovenx,Beethovenx,direct,,,,,,2026-02-12,0.3,true
beets,Beets,direct,,,,,,2026-02-12,0.3,true
benddao,Benddao,direct,,,,,,2026-02-12,0.3,true
benqi,BENQI,direct,,,,,,2026-02-12,0.3,true
berachain-webapps,Berachain Webapps,direct,,,,,,2026-02-12,0.3,true
berachain,Berachain,direct,,,,,,2026-02-12,0.3,true
beradrome,Beradrome,direct,,,,,,2026-02-12,0.3,true
betafinance,Betafinance,direct,,,,,,2026-02-12,0.3,true
biconomy,Biconomy,direct,,,,,,2026-02-12,0.3,true
bifi,Bifi,direct,,,,,,2026-02-12,0.3,true
bifrostfinance,Bifrost,direct,,,,,,2026-02-12,0.3,true
bitcoinsv,Bitcoinsv,direct,,,,,,2026-02-12,0.3,true
bitflow,Bitflow,direct,,,,,,2026-02-12,0.3,true
bitswift,Bitswift,direct,,,,,,2026-02-12,0.3,true
blackwing,Blackwing,direct,,,,,,2026-02-12,0.3,true
blockpinetwork,Blockpinetwork,direct,,,,,,2026-02-12,0.3,true
blockwallet,Blockwallet,direct,,,,,,2026-02-12,0.3,true
bobanetwork,Boba Network,direct,,,,,,2026-02-12,0.3,true
bondprotocol,Bondprotocol,direct,,,,,,2026-02-12,0.3,true
bonfida,Bonfida,direct,,,,,,2026-02-12,0.3,true
bprotocol,Bprotocol,direct,,,,,,2026-02-12,0.3,true
burrow,Burrow,direct,,,,,,2026-02-12,0.3,true
buttonwood,Buttonwood,direct,,,,,,2026-02-12,0.3,true
c3,C3,direct,,,,,,2026-02-12,0.3,true
capyfi,CapyFi,direct,,,,,,2026-02-12,0.3,true
carbonbancor,Carbonbancor,direct,,,,,,2026-02-12,0.3,true
cardanofoundation,Cardanofoundation,direct,,,,,,2026-02-12,0.3,true
cc-protocol,CC Protocol,direct,,,,,,2026-02-12,0.3,true
celer,Celer,direct,,,,,,2026-02-12,0.3,true
ceres,Ceres,direct,,,,,,2026-02-12,0.3,true
chainlink,Chainlink,direct,,,,,,2026-02-12,0.3,true
charm,Charm,direct,,,,,,2026-02-12,0.3,true
comdex,Comdex,direct,,,,,,2026-02-12,0.3,true
composablefinance,Composablefinance,direct,,,,,,2026-02-12,0.3,true
